date,year,month,decade,era,home_team,away_team,home_score,away_score,goal_diff,total_goals,result,went_to_shootout,shootout_winner,shootout_first_shooter,tournament,tournament_tier,is_high_stakes,city,country,neutral,has_home_advantage,total_goals_recorded,own_goals_count,penalties_count,unique_scorers
1893-03-13,1893,3,1890,Pioneer Era (pre-1900),England,Wales,6,0,6,6,home_win,False,,,British Home Championship,3,False,Stoke-on-Trent,England,False,True,0,0,0,0
1893-03-18,1893,3,1890,Pioneer Era (pre-1900),Wales,Scotland,0,8,-8,8,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1893-03-25,1893,3,1890,Pioneer Era (pre-1900),Scotland,Northern Ireland,6,1,5,7,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1893-04-01,1893,4,1890,Pioneer Era (pre-1900),England,Scotland,5,2,3,7,home_win,False,,,British Home Championship,3,False,Richmond,England,False,True,0,0,0,0
1894-02-24,1894,2,1890,Pioneer Era (pre-1900),Wales,Northern Ireland,4,1,3,5,home_win,False,,,British Home Championship,3,False,Swansea,Wales,False,True,0,0,0,0
1894-03-03,1894,3,1890,Pioneer Era (pre-1900),Northern Ireland,England,2,2,0,4,draw,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1894-03-12,1894,3,1890,Pioneer Era (pre-1900),Wales,England,1,5,-4,6,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1894-03-24,1894,3,1890,Pioneer Era (pre-1900),Scotland,Wales,5,2,3,7,home_win,False,,,British Home Championship,3,False,Kilmarnock,Scotland,False,True,0,0,0,0
1894-03-31,1894,3,1890,Pioneer Era (pre-1900),Northern Ireland,Scotland,1,2,-1,3,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1894-04-07,1894,4,1890,Pioneer Era (pre-1900),Scotland,England,2,2,0,4,draw,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1895-03-09,1895,3,1890,Pioneer Era (pre-1900),England,Northern Ireland,9,0,9,9,home_win,False,,,British Home Championship,3,False,Derby,England,False,True,0,0,0,0
1895-03-16,1895,3,1890,Pioneer Era (pre-1900),Northern Ireland,Wales,2,2,0,4,draw,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1895-03-18,1895,3,1890,Pioneer Era (pre-1900),England,Wales,1,1,0,2,draw,False,,,British Home Championship,3,False,London,England,False,True,0,0,0,0
1895-03-23,1895,3,1890,Pioneer Era (pre-1900),Wales,Scotland,2,2,0,4,draw,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
